name,deviation,heartbeat,decimals,address
DAI_ETH,1%,24h,18,0x773616E4d11A78F511299002da57A0a94577F1f4
DAI_USD,0.3%,1h,8,0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9
DASH_USD,1%,24h,8,0xFb0cADFEa136E9E343cfb55B863a6Df8348ab912
DATA_ETH,2%,24h,18,0xD48B96131F3de05B7C3500891C8c4c1E2dbc6E3d
DIA_USD,0.5%,24h,8,0xeE636E1f7A0A846EEc2385E729CeA7D1b339D40D
DNT_ETH,2%,24h,18,0x1F9eB026e549a5f47A6aa834689053117239334A
DODO_USD,1%,24h,8,0x9613A51Ad59EE375e6D8fa12eeef0281f1448739
DOGE_USD,0.5%,24h,8,0x2465CefD3b488BE410b941b1d4b2767088e2A028
DOT_USD,1%,24h,8,0x1C07AFb8E2B827c5A4739C6d59Ae3A5035f28734
DPI_ETH,2%,24h,18,0x029849bbc0b1d93b85a8b6190e979fd38F5760E2
DPI_USD,1%,24h,8,0xD2A593BF7594aCE1faD597adb697b5645d5edDB2
DYDX_USD,2%,24h,8,0x478909D4D798f3a1F11fFB25E4920C959B4aDe0b
ENJ_ETH,2%,24h,18,0x24D9aB51950F3d62E9144fdC2f3135DAA6Ce8D1B
EOS_USD,1%,24h,8,0x10a43289895eAff840E8d45995BBa89f9115ECEe
EPS_USD,2%,24h,8,0x9831e1fC56f473B42f5CE2a856D5c8706ee3949f
ERN_USD,2%,24h,8,0x0a87e12689374A4EF49729582B474a1013cceBf8
ETC_USD,1%,24h,8,0xaEA2808407B7319A31A383B6F8B60f04BCa23cE2
ETH_BTC,0.5%,1h,8,0xAc559F25B1619171CbC396a50854A3240b6A4e99
ETH_USD,0.5%,1h,8,0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419
ETH_XDR,1%,24h,8,0xb022E2970b3501d8d83eD07912330d178543C1eB
ETH-USD Total Marketcap,2%,24h,8,0xAA2FE1324b84981832AafCf7Dc6E6Fe6cF124283
EUR_USD,0.15%,24h,8,0xb49f677943BC038e9857d61E7d053CaA2C1734C1
EURS RESERVES,10%,24h,8,0xbcD05A3E0c11f340cCcD9a4Efe05eEB2b33AB67A
EURT_USD,2%,24h,8,0x01D391A48f4F7339aC64CA2c83a07C22F95F587a
FARM_ETH,2%,24h,18,0x611E0d2709416E002A3f38085e4e1cf77c015921
FB_USD,0.5%,24h,8,0xCe1051646393087e706288C1B57Fd26446657A7f
FEI_ETH,2%,24h,18,0x7F0D2c2838c6AC24443d13e23d99490017bDe370
FEI_USD,1%,1h,8,0x31e0a88fecB6eC0a411DBe0e9E76391498296EE9
FET_USD,2%,24h,8,0xf0ddE55cA308eaa95eF3EB433dfE7200CEc09ffe
FIL_ETH,2%,24h,18,0x0606Be69451B1C9861Ac6b3626b99093b713E801
FIL_USD,1%,24h,8,0x1A31D42149e82Eb99777f903C08A2E41A00085d3
FLOKI_USD,2%,24h,8,0xfBAFc1F5b1b37CC0763780453d1eA635520708f2
FOX_USD,2%,24h,8,0xccA02FFEFAcE21325befD6616cB4Ba5fCB047480
FRONT_USD,2%,24h,8,0xbf86e7B2565eAc3bFD80634176F31bd186566b06
FTM_ETH,3%,24h,18,0x2DE7E4a9488488e0058B95854CC2f7955B35dC9b
FTSE_GBP,0.5%,24h,8,0xE23FA0e8dd05D6f66a6e8c98cab2d9AE82A7550c
FTT_ETH,2%,24h,18,0xF0985f7E2CaBFf22CecC5a71282a89582c382EFE
FXS_USD,2%,24h,8,0x6Ebc52C8C1089be9eB3945C4350B68B8E4C2233f
Fast Gas_Gwei,25%,2h,0,0x169E633A2D1E6c10dD91238Ba11c4A708dfEF37C
GBP_USD,0.15%,24h,8,0x5c0Ab2d9b5a7ed9f470386e82BB36A3613cDd4b5
