name,address
DAI_USDC_01,0x5777d92f208679db4b9778590fa3cab3ac9e2168
DAI_USDC_05,0x6c6bc977e13df9b0de53b251522280bb72383700
DAI_USDT_05,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
DAI_FRAX_05,0x97e7d56a0408570ba1a7852de36350f7713906ec
USDC_USDT_01,0x3416cf6c708da44db2624d63ea0aaef7113527c6
USDC_USDT_05,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
USDC_UST_01,0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d
USDC_UST_05,0x92995d179a5528334356cb4dc5c6cbb1c068696c
LUSD_USDC_05,0x4e0924d3a751be199c426d52fb1f2337fa96f736
FEI_USDC_05,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26
DAI_FEI_05,0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8
FRAX_USDC_05,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52
FRAX_USDT_05,0xc2a856c3aff2110c1171b8f942256d40e980c726
LUSD_DAI_05,0x16980c16811bde2b3358c1ce4341541a4c772ec9
UST_USDT_05,0x868b7bbbfe148516e5397f23982923686182c2d2
MIM_USDT_05,0xe6e14be906c1f1b438da2010b38beca14b387231
MIM_USDC_05,0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27
RAI_DAI_05,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d
DAI_ETH_05,0x60594a405d53811d3bc4766596efd80fd545a270
DAI_ETH_30,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8
ETH_USDT_05,0x11b815efb8f581194ae79006d24e0d814b7697f6
ETH_USDT_30,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
USDC_ETH_05,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
USDC_ETH_30,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
