name,deviation,heartbeat,decimals,address
DASH_USD,1%,24h,8,0xfb0cadfea136e9e343cfb55b863a6df8348ab912
DATA_ETH,2%,24h,18,0xd48b96131f3de05b7c3500891c8c4c1e2dbc6e3d
DIA_USD,0.5%,24h,8,0xee636e1f7a0a846eec2385e729cea7d1b339d40d
DNT_ETH,2%,24h,18,0x1f9eb026e549a5f47a6aa834689053117239334a
DODO_USD,1%,24h,8,0x9613a51ad59ee375e6d8fa12eeef0281f1448739
DOGE_USD,0.5%,24h,8,0x2465cefd3b488be410b941b1d4b2767088e2a028
DOT_USD,1%,24h,8,0x1c07afb8e2b827c5a4739c6d59ae3a5035f28734
DPI_ETH,2%,24h,18,0x029849bbc0b1d93b85a8b6190e979fd38f5760e2
DPI_USD,1%,24h,8,0xd2a593bf7594ace1fad597adb697b5645d5eddb2
DYDX_USD,2%,24h,8,0x478909d4d798f3a1f11ffb25e4920c959b4ade0b
ENJ_ETH,2%,24h,18,0x24d9ab51950f3d62e9144fdc2f3135daa6ce8d1b
EOS_USD,1%,24h,8,0x10a43289895eaff840e8d45995bba89f9115ecee
EPS_USD,2%,24h,8,0x9831e1fc56f473b42f5ce2a856d5c8706ee3949f
ERN_USD,2%,24h,8,0x0a87e12689374a4ef49729582b474a1013ccebf8
ETC_USD,1%,24h,8,0xaea2808407b7319a31a383b6f8b60f04bca23ce2
ETH_BTC,0.5%,1h,8,0xac559f25b1619171cbc396a50854a3240b6a4e99
ETH_USD,0.5%,1h,8,0x5f4ec3df9cbd43714fe2740f5e3616155c5b8419
ETH_XDR,1%,24h,8,0xb022e2970b3501d8d83ed07912330d178543c1eb
ETH-USD Total Marketcap,2%,24h,8,0xaa2fe1324b84981832aafcf7dc6e6fe6cf124283
EUR_USD,0.15%,24h,8,0xb49f677943bc038e9857d61e7d053caa2c1734c1
EURS RESERVES,10%,24h,8,0xbcd05a3e0c11f340cccd9a4efe05eeb2b33ab67a
EURT_USD,2%,24h,8,0x01d391a48f4f7339ac64ca2c83a07c22f95f587a
FARM_ETH,2%,24h,18,0x611e0d2709416e002a3f38085e4e1cf77c015921
FB_USD,0.5%,24h,8,0xce1051646393087e706288c1b57fd26446657a7f
FEI_ETH,2%,24h,18,0x7f0d2c2838c6ac24443d13e23d99490017bde370
FEI_USD,1%,1h,8,0x31e0a88fecb6ec0a411dbe0e9e76391498296ee9
FET_USD,2%,24h,8,0xf0dde55ca308eaa95ef3eb433dfe7200cec09ffe
FIL_ETH,2%,24h,18,0x0606be69451b1c9861ac6b3626b99093b713e801
FIL_USD,1%,24h,8,0x1a31d42149e82eb99777f903c08a2e41a00085d3
FLOKI_USD,2%,24h,8,0xfbafc1f5b1b37cc0763780453d1ea635520708f2
FOX_USD,2%,24h,8,0xcca02ffeface21325befd6616cb4ba5fcb047480
FRONT_USD,2%,24h,8,0xbf86e7b2565eac3bfd80634176f31bd186566b06
FTM_ETH,3%,24h,18,0x2de7e4a9488488e0058b95854cc2f7955b35dc9b
FTSE_GBP,0.5%,24h,8,0xe23fa0e8dd05d6f66a6e8c98cab2d9ae82a7550c
FTT_ETH,2%,24h,18,0xf0985f7e2cabff22cecc5a71282a89582c382efe
FXS_USD,2%,24h,8,0x6ebc52c8c1089be9eb3945c4350b68b8e4c2233f
Fast Gas_Gwei,25%,2h,0,0x169e633a2d1e6c10dd91238ba11c4a708dfef37c
GBP_USD,0.15%,24h,8,0x5c0ab2d9b5a7ed9f470386e82bb36a3613cdd4b5
GHST_ETH,2%,24h,18,0x5877385f9f51b46bbd93f24ad278d681e1fd2a93
GLM_USD,2%,24h,8,0x83441c3a10f4d05de6e0f2e849a850ccf27e6fa7
GNO_ETH,2%,24h,18,0xa614953df476577e90dcf4e3428960e221ea4727
GOOGL_USD,0.5%,24h,8,0x36d39936bea501755921beb5a382a88179070219
GRT_ETH,2%,1h,18,0x17d054ecac33d91f7340645341efb5de9009f1c1
GRT_USD,2%,24h,8,0x86cf33a451de9dc61a2862fd94ff4ad4bd65a5d2
GTC_ETH,2%,24h,18,0x0e773a17a01e2c92f5d4c53435397e2bd48e215f
GUSD_ETH,2%,24h,18,0x96d15851cbac05aee4efd9ea3a3dd9bdeec9fc28
GUSD_USD,1%,1h,8,0xa89f5d2365ce98b3cd68012b6f503ab1416245fc
HBAR_USD,2%,24h,8,0x38c5ae3ee324ee027d88c5117ee58d07c9b4699b
HEGIC_ETH,2%,24h,18,0xaf5e8d9cd9fc85725a83bf23c52f1c39a71588a6
HEGIC_USD,2%,24h,8,0xbfc189ac214e6a4a35ebc281ad15669619b75534
HOOD-USD,0.5%,24h,8,0x3528b448a62189eb6bf5633851b2f33147642a2a
HT_USD,2%,24h,8,0xe1329b3f6513912caf589659777b66011aee5880
HUSD_ETH,2%,24h,18,0x1b61bad1495161bcb6c03ddb0e41622c0270bb1a
IDR_USD,0.5%,24h,8,0x91b99c9b75af469a71ee1ab528e8da994a5d7030
